
 START: 1/5 

Iteration 12 completed | Delta llk: 85.390461 | Time: 1.26 sec
Iteration 13 completed | Delta llk: 112.520666 | Time: 1.28 sec
Iteration 14 completed | Delta llk: 145.821809 | Time: 1.64 sec
Iteration 15 completed | Delta llk: 151.256081 | Time: 1.47 sec
Iteration 16 completed | Delta llk: 107.521548 | Time: 0.73 sec
Iteration 17 completed | Delta llk: 58.334783 | Time: 6.49 sec
Iteration 18 completed | Delta llk: 28.510343 | Time: 1.59 sec
Iteration 19 completed | Delta llk: 13.117396 | Time: 1.06 sec
Iteration 20 completed | Delta llk: 5.817656 | Time: 0.78 sec
Iteration 21 completed | Delta llk: 2.572796 | Time: 3.58 sec
Iteration 22 completed | Delta llk: 1.161245 | Time: 1.86 sec
Iteration 23 completed | Delta llk: 0.540866 | Time: 2.99 sec
Iteration 24 completed | Delta llk: 0.260984 | Time: 1.25 sec
Iteration 25 completed | Delta llk: 0.130402 | Time: 2.36 sec
Iteration 26 completed | Delta llk: 0.067259 | Time: 1.03 sec
Iteration 27 completed | Delta llk: 0.035655 | Time: 1.08 sec
Iteration 28 completed | Delta llk: 0.018813 | Time: 1.04 sec
Iteration 29 completed | Delta llk: 0.010918 | Time: 0.95 sec
Iteration 30 completed | Delta llk: 0.006049 | Time: 1.95 sec
Iteration 31 completed | Delta llk: 0.003398 | Time: 1.04 sec
Iteration 32 completed | Delta llk: 0.001940 | Time: 0.87 sec
Iteration 33 completed | Delta llk: 0.000719 | Time: 1.18 sec
Iteration 34 completed | Delta llk: 0.001008 | Time: 0.89 sec
Iteration 35 completed | Delta llk: 0.000371 | Time: 1.86 sec
Iteration 36 completed | Delta llk: 0.000211 | Time: 1.14 sec
Iteration 37 completed | Delta llk: 0.000112 | Time: 0.90 sec
Iteration 38 completed | Delta llk: 0.000057 | Time: 1.08 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1397.834996 | Time: 1.31 sec
Iteration 3 completed | Delta llk: 199.619287 | Time: 1.10 sec
Iteration 4 completed | Delta llk: 81.980251 | Time: 5.24 sec
Iteration 5 completed | Delta llk: 41.031508 | Time: 1.75 sec
Iteration 6 completed | Delta llk: 26.761498 | Time: 1.46 sec
Iteration 7 completed | Delta llk: 21.702912 | Time: 1.50 sec
Iteration 8 completed | Delta llk: 17.619557 | Time: 1.64 sec
Iteration 9 completed | Delta llk: 12.754860 | Time: 1.27 sec
Iteration 10 completed | Delta llk: 8.377913 | Time: 1.59 sec
Iteration 11 completed | Delta llk: 5.662549 | Time: 1.47 sec
Iteration 12 completed | Delta llk: 4.459921 | Time: 1.74 sec
Iteration 13 completed | Delta llk: 4.109625 | Time: 2.21 sec
Iteration 14 completed | Delta llk: 4.145755 | Time: 1.71 sec
Iteration 15 completed | Delta llk: 4.352959 | Time: 1.43 sec
Iteration 16 completed | Delta llk: 4.648639 | Time: 2.47 sec
Iteration 17 completed | Delta llk: 5.009646 | Time: 5.06 sec
Iteration 18 completed | Delta llk: 5.430717 | Time: 1.61 sec
Iteration 19 completed | Delta llk: 5.919454 | Time: 2.05 sec
Iteration 20 completed | Delta llk: 6.489032 | Time: 1.62 sec
Iteration 21 completed | Delta llk: 7.157946 | Time: 1.06 sec
Iteration 22 completed | Delta llk: 7.950780 | Time: 2.34 sec
Iteration 23 completed | Delta llk: 8.901303 | Time: 1.27 sec
Iteration 24 completed | Delta llk: 10.054161 | Time: 1.92 sec
Iteration 25 completed | Delta llk: 11.469932 | Time: 0.91 sec
Iteration 26 completed | Delta llk: 13.231151 | Time: 1.25 sec
Iteration 27 completed | Delta llk: 15.443883 | Time: 1.86 sec
Iteration 28 completed | Delta llk: 18.236133 | Time: 0.96 sec
Iteration 29 completed | Delta llk: 21.670520 | Time: 1.01 sec
Iteration 30 completed | Delta llk: 25.462767 | Time: 1.95 sec
Iteration 31 completed | Delta llk: 28.200983 | Time: 1.03 sec
Iteration 32 completed | Delta llk: 26.651662 | Time: 1.17 sec
Iteration 33 completed | Delta llk: 18.717459 | Time: 1.48 sec
Iteration 34 completed | Delta llk: 9.037632 | Time: 1.34 sec
Iteration 35 completed | Delta llk: 3.307777 | Time: 2.26 sec
Iteration 36 completed | Delta llk: 1.109258 | Time: 1.27 sec
Iteration 37 completed | Delta llk: 0.382487 | Time: 2.45 sec
Iteration 38 completed | Delta llk: 0.139585 | Time: 2.79 sec
Iteration 39 completed | Delta llk: 0.054979 | Time: 1.60 sec
Iteration 40 completed | Delta llk: 0.020682 | Time: 1.07 sec
Iteration 41 completed | Delta llk: 0.008041 | Time: 0.29 sec
Iteration 42 completed | Delta llk: 0.004195 | Time: 0.80 sec
Iteration 43 completed | Delta llk: 0.000996 | Time: 0.53 sec
Iteration 44 completed | Delta llk: 0.000887 | Time: 0.44 sec
Iteration 45 completed | Delta llk: 0.000198 | Time: 0.20 sec
Iteration 46 completed | Delta llk: -0.000027 | Time: 0.11 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 5298.949296 | Time: 0.35 sec
Iteration 3 completed | Delta llk: 7.587907 | Time: 0.52 sec
Iteration 4 completed | Delta llk: 5.447783 | Time: 0.50 sec
Iteration 5 completed | Delta llk: 4.770261 | Time: 0.59 sec
